project,session_id,source,primary_model,pricing_tier,turns,user_messages,assistant_messages,tool_uses_total,task_subagents,thinking_blocks,thinking_chars,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cache_creation_5m,cache_creation_1h,cache_hit_ratio,estimated_cost_usd,first_ts,last_ts,sidechain_records
-Users-alekdob-Desktop-Dev-Personal-Kyron,12e11bba-0440-487b-b4e7-a1cc3f91a423,cli,claude-fable-5,opus-fallback,85,85,152,76,0,53,0,130680,66808,931790,17512373,0,931790,0.9428,16.9035,2026-06-11T12:50:16.500Z,2026-06-11T14:12:35.165Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1390f84e-e4d6-40e5-a7b0-335957470fe8,cli,claude-opus-4-8,opus,260,260,549,250,5,159,0,175093,958954,8765793,167479526,0,8765793,0.9493,163.3753,2026-06-19T17:23:16.233Z,2026-06-20T13:31:57.074Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,18d6edf6-3caa-4c08-abed-1e2b41610318,cli,claude-opus-4-8,opus,126,126,271,110,2,79,0,210117,356723,2324216,41938871,130,2324086,0.943,45.4644,2026-06-09T13:06:42.990Z,2026-06-10T09:14:16.558Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1be4f64c-761b-47ca-a0bb-085a272d04c0,cli,claude-fable-5,opus-fallback,104,104,212,90,0,90,0,237650,132233,2227271,31357154,0,2227271,0.9271,34.0931,2026-06-12T12:30:32.576Z,2026-06-12T15:18:59.859Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1c402c97-378f-4643-9879-0c4182599c0a,quack,claude-opus-4-8,opus,79,79,170,69,0,53,0,117041,121411,366185,18344018,0,366185,0.9743,15.0811,2026-06-22T16:34:01.386Z,2026-06-22T17:52:18.473Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1c5192cc-a66d-4648-9d06-45caa615382e,quack,claude-opus-4-8,opus,130,130,294,120,3,86,0,112071,412865,2185063,58859433,0,2185063,0.9624,53.9683,2026-06-25T13:01:17.157Z,2026-06-26T08:56:17.599Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1ddf3a39-4c4d-4e21-bdec-8569dbcb85c2,cli,claude-opus-4-8,opus,249,249,464,209,0,113,0,239135,385566,3103602,93746246,3662,3099940,0.9656,77.1055,2026-06-10T06:53:53.847Z,2026-06-10T09:28:10.810Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,245b89c4-506f-464c-96f6-4b393a3b3f85,cli,claude-opus-4-8,opus,325,325,589,315,0,146,0,150570,477773,3464123,112511374,0,3464123,0.9689,90.6036,2026-06-08T12:49:57.993Z,2026-06-08T14:59:58.098Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,269bfbcc-1bec-4c86-a4ef-fd687e19c357,cli,claude-opus-4-8,opus,150,150,324,147,3,88,0,205969,416324,1850337,73470024,0,1850337,0.9728,59.7376,2026-06-10T08:26:20.391Z,2026-06-10T10:24:46.514Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,2e7f5404-d5d8-4b9c-a419-acce49747d52,cli,claude-fable-5,opus-fallback,67,67,126,55,0,47,0,108220,68090,289504,15858109,0,289504,0.9755,11.9818,2026-06-10T10:31:20.750Z,2026-06-10T11:42:27.720Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,2e92e28d-24fa-4e06-a3a9-fe8616217b2f,cli,claude-fable-5,opus-fallback,199,199,331,184,0,108,0,239421,215060,2128736,58981477,0,2128736,0.9614,49.3689,2026-06-11T09:22:55.351Z,2026-06-11T12:54:46.491Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,3039803d-cf12-4429-8e99-65b1d3e1f290,cli,claude-fable-5,opus-fallback,76,76,114,70,0,38,0,109286,67139,601758,10670061,0,601758,0.9375,11.3209,2026-06-11T14:10:12.469Z,2026-06-11T14:37:47.752Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,31309d60-1bee-4a99-842e-7922ba8c02c2,cli,claude-opus-4-8,opus,149,149,314,133,0,88,0,168969,277222,2303874,54265478,0,2303874,0.9564,49.3073,2026-06-09T08:06:08.808Z,2026-06-09T13:23:29.639Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,332d2aab-cb17-459e-93a8-d56a0a97c8c3,cli,claude-opus-4-8,opus,174,174,359,167,3,94,0,206760,359751,3246696,75721248,293,3246403,0.9564,68.18,2026-06-08T15:01:51.410Z,2026-06-09T08:23:12.734Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,33428789-ef90-412c-9ddd-c0347b848c59,cli,claude-opus-4-8,opus,106,106,179,83,0,32,0,123550,101180,982483,21449218,0,982483,0.951,20.0124,2026-06-08T11:14:49.716Z,2026-06-08T13:36:26.173Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,33a2937b-f673-43e5-92ed-265ab8f4297c,quack,claude-opus-4-8,opus,56,56,143,51,1,46,0,126171,168447,901288,19550875,0,901288,0.9501,20.2505,2026-06-29T07:36:26.470Z,2026-06-29T08:15:39.132Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,342641a2-10c4-46ba-b6bc-e8b01113fed9,cli,claude-opus-4-8,opus,5,5,10,3,0,3,0,30173,2421,125178,321859,0,125178,0.6745,1.1547,2026-06-25T09:07:21.998Z,2026-06-25T09:11:36.156Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,37458c71-d01f-4cdd-b4c4-ffc19e877695,cli,claude-fable-5,opus-fallback,191,191,329,186,3,104,0,308159,254611,2597633,69164627,0,2597633,0.9597,58.7236,2026-06-10T10:03:10.560Z,2026-06-10T11:44:21.014Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,3a449e34-4704-43d1-9825-19095da09f29,cli,claude-opus-4-8,opus,71,71,144,68,0,44,0,98048,63511,652652,13139342,0,652652,0.946,12.7268,2026-06-08T15:07:53.203Z,2026-06-08T15:26:15.890Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,3ab6767f-60e9-4296-b3de-654ac5a0d091,cli,claude-opus-4-8,opus,82,82,180,70,3,59,0,150639,440449,1290390,34599270,11875,1278515,0.96,37.129,2026-06-19T13:30:01.025Z,2026-06-19T15:26:35.565Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,3b90f626-486a-4f3e-9583-b792add34e38,cli,claude-opus-4-8,opus,16,16,30,15,0,7,0,65796,10547,161658,1570478,0,161658,0.8735,2.3883,2026-06-08T12:41:44.358Z,2026-06-08T12:43:58.386Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,41cc0ff7-0f82-461c-8c8f-df6a475257b3,cli,claude-opus-4-8,opus,249,249,529,214,2,152,0,226707,734589,5029733,160577851,0,5029733,0.9683,131.223,2026-06-17T08:06:43.874Z,2026-06-17T14:28:23.099Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,488443a0-8029-4e12-8294-f6f2f172e4ea,cli,claude-opus-4-8,opus,498,498,1006,458,5,296,0,741561,1327350,20915710,382475462,0,20915710,0.9464,358.8525,2026-06-15T14:14:31.630Z,2026-06-16T15:30:24.295Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,492006b3-a6e0-47c2-8fe9-78dcdb59db68,cli,claude-fable-5,opus-fallback,59,59,122,54,0,56,0,58251,42947,254065,8148967,0,254065,0.9631,7.0273,2026-06-10T17:42:26.273Z,2026-06-10T18:01:10.122Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,4cbf05bf-2ed9-48b3-83b9-429065d75ca6,cli,<synthetic>,opus-fallback,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06-13T17:48:03.366Z,2026-06-13T17:48:04.882Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,4e541661-3f22-46b0-a5f6-372123a460ed,quack,claude-opus-4-8,opus,14,14,31,12,0,10,0,27766,18197,95865,1426122,0,95865,0.9202,1.906,2026-06-22T16:10:01.637Z,2026-06-22T16:15:17.604Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,4f2d156c-9283-48bf-a278-da2d9b45fe03,cli,claude-fable-5,opus-fallback,307,307,621,268,0,278,0,217867,484584,3872791,137147817,0,3872791,0.971,105.9828,2026-06-10T11:44:22.940Z,2026-06-11T09:24:24.193Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,50f52b18-6187-4d99-9ef9-ff665517be14,cli,claude-opus-4-8,opus,339,339,689,306,8,170,0,644885,638584,7707531,228858884,0,7707531,0.9648,181.7905,2026-06-04T08:38:30.028Z,2026-06-05T08:20:38.892Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,530dd7d6-978d-4444-98ee-d8d4376f76b6,cli,claude-opus-4-8,opus,174,174,360,157,1,106,0,273514,306235,5279777,76285124,0,5279777,0.9321,80.1646,2026-06-15T09:53:50.237Z,2026-06-15T14:45:43.155Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,552322d6-8a1d-428d-864c-ca0f8b25c3a7,cli,claude-opus-4-8,opus,81,81,154,77,0,41,0,97243,86235,1060819,14526669,0,1060819,0.9262,16.5355,2026-06-10T07:55:29.597Z,2026-06-10T08:25:40.258Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,55410d33-e888-4f5c-bf9c-ea600c502a25,cli,claude-opus-4-8,opus,130,130,297,114,0,88,0,215134,294353,1729464,51786029,0,1729464,0.9638,45.1367,2026-06-05T16:25:54.392Z,2026-06-05T17:56:20.195Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,55dddbb5-bcf5-47d1-bcbf-77d1b7497c08,cli,claude-opus-4-8,opus,46,46,91,45,0,23,0,117299,78545,375383,8310883,0,375383,0.944,9.0517,2026-06-09T08:08:34.031Z,2026-06-09T08:25:43.762Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,56e0e758-5ac0-4cae-82cb-98fb22d564aa,cli,claude-opus-4-8,opus,75,75,168,67,0,53,0,119264,156823,1488714,19101727,0,1488714,0.9224,23.3722,2026-06-17T08:04:26.289Z,2026-06-17T09:51:06.543Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,5a5f2e82-a355-42c7-a628-a745f2eeb344,cli,claude-opus-4-8,opus,88,88,189,83,0,49,0,70161,96032,1185514,18418776,0,1185514,0.9362,19.3705,2026-06-08T12:31:28.997Z,2026-06-08T12:56:37.575Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,5dfe9ccb-8677-4424-b818-453a7b948931,cli,claude-opus-4-8,opus,85,85,192,81,0,58,0,111755,315503,1653560,31933594,0,1653560,0.9476,34.7479,2026-06-30T14:23:36.401Z,2026-06-30T15:00:32.821Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,5eada880-ad41-403a-b625-6fb3eaded211,cli,claude-opus-4-8,opus,166,166,320,155,0,72,0,110855,236955,3418613,51509417,0,3418613,0.9359,53.5992,2026-06-10T08:23:55.518Z,2026-06-10T10:05:27.448Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,5f111dbe-a139-4bd8-b26e-ae3bce9c1136,cli,claude-opus-4-7,opus,1,1,1,0,0,0,0,6,12,56049,0,0,56049,0.0,0.3506,2026-06-25T09:11:33.442Z,2026-06-25T09:11:37.144Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,6121ab6d-ac6c-4a6e-8dbb-010b39849922,cli,claude-opus-4-8,opus,87,87,181,76,0,46,0,159976,143079,1191241,26101336,0,1191241,0.9508,24.8728,2026-06-08T14:24:45.939Z,2026-06-08T16:08:35.189Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,631b7d86-6649-41b5-82a6-5c442b7e11a3,cli,claude-opus-4-8,opus,11,11,29,9,0,11,0,47101,21829,171016,1375102,0,171016,0.8631,2.5376,2026-06-08T18:44:47.586Z,2026-06-08T19:30:21.030Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,642dbd11-42ff-42a8-b9b0-80438ab1740b,quack,claude-opus-4-8,opus,44,44,94,36,1,25,0,61703,65177,267897,6586671,0,267897,0.9523,6.9056,2026-06-22T15:18:01.919Z,2026-06-22T15:52:47.927Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,6857333d-f9c9-4c85-8f11-b62a6bb8cb24,cli,claude-opus-4-8,opus,404,404,772,367,6,209,0,379645,862217,14429775,239083925,0,14429775,0.9417,233.1817,2026-06-08T06:47:18.971Z,2026-06-08T11:08:17.323Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,6a869e08-1f96-4826-9451-fe4d6a777d1c,cli,claude-opus-4-8,opus,3,3,5,2,0,2,0,31720,2089,59550,158245,0,59550,0.6342,0.6621,2026-06-18T09:10:03.958Z,2026-06-18T09:10:35.342Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,6f33384e-1f87-4a3f-b183-cb42662c072f,cli,claude-opus-4-8,opus,20,20,37,19,0,10,0,65858,9435,164810,2026969,0,164810,0.8978,2.6087,2026-06-08T15:47:34.052Z,2026-06-08T15:49:37.198Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,7262a0af-820a-494f-8dcd-1125b26b167f,cli,claude-opus-4-8,opus,35,35,75,34,1,22,0,110090,91383,272027,7337295,0,272027,0.9505,8.2038,2026-06-25T11:52:04.937Z,2026-06-25T12:05:05.628Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,73c208f2-d2bc-4441-8d52-f0e1bc5779af,cli,claude-opus-4-8,opus,250,250,565,236,6,164,0,418611,761959,6220675,193479727,0,6220675,0.9668,156.7611,2026-06-09T10:18:57.863Z,2026-06-10T08:01:17.828Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,7bad7e82-7cee-45df-a91e-950d2347a781,cli,claude-fable-5,opus-fallback,135,135,271,129,0,110,0,313625,199796,2992336,53560946,0,2992336,0.9419,52.0456,2026-06-11T12:52:43.130Z,2026-06-11T15:05:52.893Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,7bc467b8-89f9-42db-b580-a38c803df9fc,cli,claude-opus-4-8,opus,73,73,159,66,0,47,0,166672,242228,731490,19658661,0,731490,0.9563,21.2902,2026-06-29T07:38:57.324Z,2026-06-29T08:11:10.764Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,7c320a73-2450-418c-a348-1b5cbe3c7748,cli,claude-opus-4-8,opus,137,137,297,133,2,88,0,295068,256017,2311004,55889052,0,2311004,0.9554,50.2641,2026-06-18T08:33:29.163Z,2026-06-18T09:38:31.957Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,7f9656a3-04fa-4615-b659-f6bfc6d6fdb7,cli,claude-opus-4-8,opus,5,5,8,4,0,3,0,68259,2358,79574,274291,0,79574,0.6498,1.0347,2026-06-15T07:55:02.776Z,2026-06-15T07:55:22.688Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,80675574-cc38-44c5-b683-9250be5dc194,cli,claude-opus-4-8,opus,558,558,1046,503,6,273,0,648132,1069939,15651087,310270622,0,15651087,0.9501,282.9437,2026-06-08T06:47:18.971Z,2026-06-08T13:07:06.336Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,87cdb579-a82c-4e76-90b1-16313fda51a4,cli,claude-fable-5,opus-fallback,41,41,68,39,0,21,0,88472,36900,581827,4614253,0,581827,0.8732,7.3084,2026-06-10T10:43:44.305Z,2026-06-10T11:24:24.343Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,89d281cb-bcfa-4c10-a0b5-b8c94543454f,cli,claude-opus-4-8,opus,91,91,177,88,3,46,0,312472,360763,2856378,35419465,0,2856378,0.9179,46.1435,2026-06-20T14:19:06.463Z,2026-06-20T16:14:23.047Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8b668f23-8f05-401a-81af-f1b9de263da9,cli,,opus-fallback,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06-11T09:52:02.556Z,2026-06-11T09:54:07.575Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8b902095-1bce-4322-82c8-d852f12aa91d,cli,claude-opus-4-8,opus,2,2,5,1,1,2,0,41666,3817,72394,116338,0,72394,0.5049,0.8144,2026-06-22T10:40:32.588Z,2026-06-22T10:41:58.999Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8da4a414-83fc-4510-ab66-f98c3baf848b,cli,claude-opus-4-8,opus,1,1,1,0,0,0,0,13606,97,13717,17778,0,13717,0.3942,0.1651,2026-06-19T09:22:53.034Z,2026-06-19T09:22:57.492Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8e0a3b65-2344-48fe-a42b-0c7dec79adc6,cli,claude-opus-4-8,opus,94,94,223,73,0,76,0,185836,524150,863784,44016226,0,863784,0.9767,41.4397,2026-06-03T11:16:11.468Z,2026-06-03T13:18:51.439Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8e75fd85-7157-48dd-b327-6fb0cd99f36b,cli,claude-opus-4-8,opus,9,9,14,7,0,4,0,187477,22731,277572,610064,0,277572,0.5674,3.5455,2026-06-15T14:16:35.816Z,2026-06-15T14:18:05.851Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,8f3e78e7-d66f-49b6-bccd-089ca6d51728,cli,claude-opus-4-8,opus,43,43,102,42,0,31,0,132878,104022,377482,10456490,0,377482,0.9535,10.8524,2026-06-09T09:47:05.715Z,2026-06-09T10:33:30.100Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,98c241d7-aeb1-422e-a426-615943d52cfc,cli,claude-opus-4-8,opus,305,305,502,281,0,108,0,124793,318047,4660133,99202011,0,4660133,0.954,87.302,2026-06-08T12:52:02.553Z,2026-06-08T16:02:09.842Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,99702e30-ec61-4de9-af46-2d84d4015a0b,cli,claude-opus-4-8,opus,171,171,361,154,0,105,0,172157,437292,4553458,64349936,0,4553458,0.9316,72.4272,2026-06-08T16:50:50.509Z,2026-06-09T08:16:00.229Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,9e23b56d-247b-407c-ab41-723ad4259939,cli,claude-fable-5,opus-fallback,212,212,389,194,2,151,0,246389,317901,3131348,78937239,0,3131348,0.959,68.219,2026-06-12T10:36:04.094Z,2026-06-12T15:50:52.746Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,9efc204f-15a7-479c-96fe-9c9c3b9b8661,cli,claude-opus-4-8,opus,138,138,295,118,0,87,0,249414,1103220,7175565,80648610,390,7175175,0.9157,113.9992,2026-06-05T15:51:13.084Z,2026-06-08T07:13:30.867Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,a36dc2dc-53bb-481f-8c18-34cc2d6c3eba,cli,claude-fable-5,opus-fallback,120,120,225,102,0,95,0,213553,146860,1683543,30259029,0,1683543,0.941,30.3909,2026-06-11T08:52:26.816Z,2026-06-11T13:19:05.664Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,a3702e76-3ace-48fc-a2db-966a9e1e8500,cli,,opus-fallback,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06-15T09:13:03.394Z,2026-06-15T09:13:07.390Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,b07a2fd8-d5ee-41d1-b356-d29a07c2e47c,cli,,opus-fallback,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06-10T13:59:45.786Z,2026-06-10T13:59:47.835Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,b524120d-4bcd-4fa9-9bd0-048ec210b8ef,cli,claude-fable-5,opus-fallback,125,125,215,117,0,70,0,121812,96887,1765644,24794460,0,1765644,0.9293,26.4637,2026-06-10T11:31:30.956Z,2026-06-10T12:12:17.436Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,b59086e4-27d6-4bf9-9995-849fc67cbf0c,cli,claude-opus-4-8,opus,97,97,200,83,0,50,0,89909,134568,1066806,24657719,0,1066806,0.9552,22.8101,2026-06-08T10:15:17.838Z,2026-06-08T11:19:14.388Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,b8886db9-80ab-4013-bec1-d3ebf449089a,cli,claude-fable-5,opus-fallback,7,7,14,6,0,5,0,86889,4704,111820,749997,0,111820,0.7905,1.6259,2026-06-11T14:45:24.021Z,2026-06-11T14:46:31.508Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,ba9cca40-6030-4aae-b557-8b33b0f5cd2c,cli,claude-opus-4-8,opus,203,203,424,189,2,115,0,140383,347656,2736432,81420710,0,2736432,0.9659,67.2064,2026-06-08T09:00:14.520Z,2026-06-08T11:03:11.911Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,bb982eab-7deb-4fb4-9245-8f06ad4580c6,cli,claude-opus-4-8,opus,162,162,359,140,0,128,0,327606,1056599,10831218,91810318,0,10831218,0.8916,141.6533,2026-06-12T17:18:03.989Z,2026-06-14T15:27:41.985Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,bbe9e24b-ea6f-4321-aed7-c478cdedb36c,quack,claude-opus-4-8,opus,53,53,129,44,4,47,0,107713,293896,586931,19245374,0,586931,0.9652,21.177,2026-06-24T10:50:18.147Z,2026-06-24T14:03:33.577Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,bedfd3f1-4e65-4f87-85ec-0e9687a685f9,quack,claude-opus-4-8,opus,47,47,99,44,0,26,0,88629,51861,346305,9014263,0,346305,0.954,8.4112,2026-06-25T11:53:56.701Z,2026-06-25T12:02:32.067Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,bf219d23-f82e-4412-b3bf-913c4ee6ca2e,cli,claude-fable-5,opus-fallback,124,124,199,110,1,65,0,149679,151012,1750465,32180192,0,1750465,0.9442,31.5542,2026-06-12T15:04:55.970Z,2026-06-12T15:43:58.942Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c086cdeb-e85d-4081-a3e0-cb93c0483509,cli,claude-opus-4-8,opus,27,27,59,22,0,18,0,182043,71978,625707,4833404,0,625707,0.8568,9.037,2026-06-15T16:56:06.860Z,2026-06-16T10:15:14.857Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c146a658-489a-4ff3-bb88-5d1ead605c48,cli,claude-opus-4-8,opus,121,121,246,109,5,65,0,370940,236676,1474107,30483142,0,1474107,0.9429,32.2263,2026-06-22T07:41:01.517Z,2026-06-22T08:34:25.943Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c1c31043-1e2d-4100-964e-67159f664da2,cli,claude-fable-5,opus-fallback,34,34,58,33,0,22,0,69923,16307,170538,3688136,0,170538,0.9388,3.6672,2026-06-10T12:03:55.646Z,2026-06-10T12:09:59.405Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c1eace15-584d-4394-934f-6c834feb8d85,cli,claude-opus-4-8,opus,32,32,62,31,1,18,0,70174,32709,329211,3813664,0,329211,0.9052,5.133,2026-06-09T08:06:46.068Z,2026-06-09T08:21:38.131Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c2428a68-d961-4d1d-8c65-6c7b3caad9f9,cli,claude-opus-4-8,opus,41,41,62,39,0,17,0,32581,41162,152089,4721284,0,152089,0.9624,4.5032,2026-06-04T09:10:42.871Z,2026-06-04T09:17:47.170Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c2fbac22-6f5d-471c-8bba-ab4ce15f0bc7,cli,claude-fable-5,opus-fallback,44,44,94,39,1,40,0,170573,46645,729542,9527211,0,729542,0.9137,11.3422,2026-06-12T15:35:15.634Z,2026-06-12T15:48:51.822Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c5ef2734-efbb-4038-b5f6-d7910d819e4e,quack,claude-opus-4-8,opus,58,58,132,56,0,43,0,51584,120309,275446,12456072,0,275446,0.9744,11.2152,2026-06-22T15:10:11.148Z,2026-06-22T15:32:27.007Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c75f5777-5d1d-4718-97e1-68cb626d5a4c,cli,claude-opus-4-8,opus,122,122,266,113,3,71,0,319634,367415,2924080,52816171,0,2924080,0.9421,55.4671,2026-06-08T09:09:25.036Z,2026-06-08T11:12:40.056Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,c7cbd924-5b17-4a23-883e-007066021c64,cli,claude-opus-4-8,opus,80,80,188,71,0,60,0,211531,442360,1834731,28854778,0,1834731,0.9338,38.0111,2026-06-14T09:52:14.184Z,2026-06-14T12:18:18.677Z,0
